Economy,Code,Region,Income group,Lending category
Lebanon,LBN,Middle East and North Africa,Lower middle income,IBRD
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,IDA
Liberia,LBR,Sub-Saharan Africa,Low income,IDA
Libya,LBY,Middle East and North Africa,Upper middle income,IBRD
Liechtenstein,LIE,Europe and Central Asia,High income,
Lithuania,LTU,Europe and Central Asia,High income,
Luxembourg,LUX,Europe and Central Asia,High income,
"Macao SAR, China",MAC,East Asia and Pacific,High income,
Madagascar,MDG,Sub-Saharan Africa,Low income,IDA
Malawi,MWI,Sub-Saharan Africa,Low income,IDA
Malaysia,MYS,East Asia and Pacific,Upper middle income,IBRD
Maldives,MDV,South Asia,Upper middle income,IDA
Mali,MLI,Sub-Saharan Africa,Low income,IDA
Malta,MLT,Middle East and North Africa,High income,
Marshall Islands,MHL,East Asia and Pacific,Upper middle income,IDA
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,IDA
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,IBRD
Mexico,MEX,Latin America and Caribbean,Upper middle income,IBRD
"Micronesia, Fed. Sts.",FSM,East Asia and Pacific,Lower middle income,IDA
Moldova,MDA,Europe and Central Asia,Upper middle income,IBRD
Monaco,MCO,Europe and Central Asia,High income,
Mongolia,MNG,East Asia and Pacific,Upper middle income,IBRD
Montenegro,MNE,Europe and Central Asia,Upper middle income,IBRD
Morocco,MAR,Middle East and North Africa,Lower middle income,IBRD
Mozambique,MOZ,Sub-Saharan Africa,Low income,IDA
Myanmar,MMR,East Asia and Pacific,Lower middle income,IDA
Namibia,NAM,Sub-Saharan Africa,Upper middle income,IBRD
Nauru,NRU,East Asia and Pacific,High income,IBRD
Nepal,NPL,South Asia,Lower middle income,IDA
Netherlands,NLD,Europe and Central Asia,High income,
New Caledonia,NCL,East Asia and Pacific,High income,
New Zealand,NZL,East Asia and Pacific,High income,
Nicaragua,NIC,Latin America and Caribbean,Lower middle income,IDA
Niger,NER,Sub-Saharan Africa,Low income,IDA
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,Blend
North Macedonia,MKD,Europe and Central Asia,Upper middle income,IBRD
Northern Mariana Islands,MNP,East Asia and Pacific,High income,
Norway,NOR,Europe and Central Asia,High income,
Oman,OMN,Middle East and North Africa,High income,
Pakistan,PAK,South Asia,Lower middle income,Blend
Palau,PLW,East Asia and Pacific,High income,IBRD
Panama,PAN,Latin America and Caribbean,High income,IBRD
Papua New Guinea,PNG,East Asia and Pacific,Lower middle income,Blend
Paraguay,PRY,Latin America and Caribbean,Upper middle income,IBRD
Peru,PER,Latin America and Caribbean,Upper middle income,IBRD
Philippines,PHL,East Asia and Pacific,Lower middle income,IBRD
Poland,POL,Europe and Central Asia,High income,IBRD
Portugal,PRT,Europe and Central Asia,High income,
Puerto Rico,PRI,Latin America and Caribbean,High income,
Qatar,QAT,Middle East and North Africa,High income,
Romania,ROU,Europe and Central Asia,High income,IBRD
Russian Federation,RUS,Europe and Central Asia,High income,IBRD
Rwanda,RWA,Sub-Saharan Africa,Low income,IDA
Samoa,WSM,East Asia and Pacific,Lower middle income,IDA
San Marino,SMR,Europe and Central Asia,High income,
São Tomé and Príncipe,STP,Sub-Saharan Africa,Lower middle income,IDA
Saudi Arabia,SAU,Middle East and North Africa,High income,
Senegal,SEN,Sub-Saharan Africa,Lower middle income,IDA
Serbia,SRB,Europe and Central Asia,Upper middle income,IBRD
Seychelles,SYC,Sub-Saharan Africa,High income,IBRD
Sierra Leone,SLE,Sub-Saharan Africa,Low income,IDA
Singapore,SGP,East Asia and Pacific,High income,
Sint Maarten (Dutch part),SXM,Latin America and Caribbean,High income,
Slovak Republic,SVK,Europe and Central Asia,High income,
Slovenia,SVN,Europe and Central Asia,High income,
Solomon Islands,SLB,East Asia and Pacific,Lower middle income,IDA
Somalia,SOM,Sub-Saharan Africa,Low income,IDA
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,IBRD
South Sudan,SSD,Sub-Saharan Africa,Low income,IDA
Spain,ESP,Europe and Central Asia,High income,
Sri Lanka,LKA,South Asia,Lower middle income,IDA
St. Kitts and Nevis,KNA,Latin America and Caribbean,High income,IBRD
St. Lucia,LCA,Latin America and Caribbean,Upper middle income,Blend
St. Martin (French part),MAF,Latin America and Caribbean,High income,
St. Vincent and the Grenadines,VCT,Latin America and Caribbean,Upper middle income,Blend
Sudan,SDN,Sub-Saharan Africa,Low income,IDA
Suriname,SUR,Latin America and Caribbean,Upper middle income,Blend
Sweden,SWE,Europe and Central Asia,High income,
Switzerland,CHE,Europe and Central Asia,High income,
Syrian Arab Republic,SYR,Middle East and North Africa,Low income,IDA
"Taiwan, China",TWN,East Asia and Pacific,High income,
Tajikistan,TJK,Europe and Central Asia,Lower middle income,IDA
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,IDA
Thailand,THA,East Asia and Pacific,Upper middle income,IBRD
Timor-Leste,TLS,East Asia and Pacific,Lower middle income,Blend
Togo,TGO,Sub-Saharan Africa,Low income,IDA
Tonga,TON,East Asia and Pacific,Upper middle income,IDA
Trinidad and Tobago,TTO,Latin America and Caribbean,High income,IBRD
Tunisia,TUN,Middle East and North Africa,Lower middle income,IBRD
Türkiye,TUR,Europe and Central Asia,Upper middle income,IBRD
Turkmenistan,TKM,Europe and Central Asia,Upper middle income,IBRD
Turks and Caicos Islands,TCA,Latin America and Caribbean,High income,
Tuvalu,TUV,East Asia and Pacific,Upper middle income,IDA
Uganda,UGA,Sub-Saharan Africa,Low income,IDA
Ukraine,UKR,Europe and Central Asia,Upper middle income,IBRD
United Arab Emirates,ARE,Middle East and North Africa,High income,
United Kingdom,GBR,Europe and Central Asia,High income,
United States,USA,North America,High income,
Uruguay,URY,Latin America and Caribbean,High income,IBRD
Uzbekistan,UZB,Europe and Central Asia,Lower middle income,Blend
Vanuatu,VUT,East Asia and Pacific,Lower middle income,IDA
"Venezuela, RB",VEN,Latin America and Caribbean,,IBRD
Vietnam,VNM,East Asia and Pacific,Lower middle income,IBRD
Virgin Islands (U.S.),VIR,Latin America and Caribbean,High income,
West Bank and Gaza,PSE,Middle East and North Africa,Lower middle income,
"Yemen, Rep.",YEM,Middle East and North Africa,Low income,IDA
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,IDA
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,Blend
